village_id,village_name,district,state,ndbi_mean_2020,ndbi_mean_2025,ndbi_median_2020,ndbi_median_2025,builtup_frac_2020,builtup_frac_2025,builtup_growth_abs,builtup_growth_pct
,,,,-0.3366237507781858,-0.3712361564766098,-0.3633094428182847,-0.39453790903503055,0.008808734926913024,0.004443847904355867,-0.004364887022557156,0.01901866311236332
,,,,-0.18888473880986498,-0.22028984593378065,-0.25401422289169245,-0.32431748689137796,0.03253873026435021,0.073653897863685,0.04111516759933477,0.6480513199701033
,,,,-0.2771010000577133,-0.26900034353771807,-0.3242590803776123,-0.3398825097280724,0.009095232957641307,0.06333521720155183,0.05423322992343489,0.5606421801164665
,,,,-0.23306868279553564,-0.32398048406940866,-0.24610519035616918,-0.3398522933776718,0.04158437661809794,0.01031855280464458,-0.031265823813453365,-0.007440016002897241
,,,,-0.24901281158785785,-0.3371412282153588,-0.26172087008510425,-0.3476690003667944,0.0279237315764852,0.006708386886456152,-0.02121534469002906,-0.004292795976358069
,,,,-0.2793121337963509,-0.35639793603173586,-0.28518761189095704,-0.35546570621357343,0.01873940909679871,0.010445521591856745,-0.008293887504941968,0.04685947493424824
,,,,-0.3214600700471171,-0.37340616236783397,-0.3476903488321223,-0.38673070893591266,0.01254593391843271,0.0072175893716125835,-0.005328344546820126,0.020616958646695046
,,,,-0.2753656005121956,-0.3246258603477171,-0.3164436000756643,-0.371137236140387,0.030820408385088167,0.03611806263118856,0.005297654246100396,0.18293816474793964
,,,,-0.31708197630763346,-0.3709004109177513,-0.3164254089734488,-0.37111714617304276,0.002291094803062033,7.361328352542367E-4,-0.0015549619678077954,0.0021895989260717705
,,,,-0.020353291400250266,-0.037848227350441875,-0.009766058546665223,-0.027328311661628933,0.0864977313127372,0.06307058953864408,-0.02342714177409313,0.3169480588881164
,,,,-0.1174582923527109,-0.1565689831199129,-0.1289386689269769,-0.18362382769265606,0.022638197698227697,0.021552841347770517,-0.0010853563504571815,0.11358982228613122
,,,,-0.08044168624981335,-0.09462012841948926,-0.07420233366557269,-0.0976535909295213,0.05791005479171418,0.061794784135805934,0.0038847293440917477,0.347286073097023
,,,,-0.026489647752199554,-0.02986432063293312,-0.003898296553048914,0.0039046320521352014,0.1260604918255235,0.22766017960418136,0.10159968777865787,1.372128203768344
,,,,-0.06685930901410125,-0.06274230654884648,-0.05858069903096642,-0.05857157767760602,0.05529428639301119,0.13338021724262447,0.07808593084961328,0.9924301012470156
,,,,-0.05752316934572854,-0.08668223214562756,-0.050753539901357995,-0.1054794213642824,0.10171822519265808,0.12395976615324819,0.022241540960590143,0.6078873298115959
,,,,-0.009547140878796385,-0.03209811134027383,0.009772482829039905,-0.003915441432767656,0.13191388634037893,0.15156659162480995,0.019652705284431,0.7562708425457699
