village_id,village_name,district,state,ntl_mean_2020,ntl_mean_2025,ntl_median_2020,ntl_median_2025,ntl_std_2020,ntl_std_2025,ntl_p10_2025,ntl_p90_2025,ntl_growth_pct
,,,,0.4158942639605905,0.5117072463763542,0.2921443037776177,0.32826483156987746,0.5380846186952404,0.6285790451045401,0.297418937371259,0.7966396024861894,0.23841829456372257
,,,,0.2609303765503797,0.31086061603177745,0.2578997962115271,0.3075521439188937,0.11262876610559919,0.036549579784291894,0.27239537276859904,0.3467131105830848,0.22129714342320334
,,,,0.2450880746657537,0.2961248473469316,0.24467437364666464,0.29619220394649476,0.028496225749353836,0.02531972059058354,0.2642873265283737,0.3288938147311955,0.2232120873483754
,,,,0.2997891546750867,0.3463585584052367,0.2646257399246519,0.2975277377331474,0.21300045346358715,0.22028522628556577,0.2704408641411606,0.4209946231901078,0.17120326060363972
,,,,0.28640158372741686,0.3201030884370823,0.25723918959218983,0.289231883238224,0.13622439729648453,0.1469399164241058,0.2590226202028144,0.36781789755753364,0.12724492240043467
,,,,0.2897872238970333,0.32194112959355714,0.2735190160169242,0.29579078831081107,0.13145628309817872,0.16859578391811864,0.26859990392104727,0.357012222655626,0.10941501158259037
,,,,0.31292730094154425,0.34825951946798156,0.2640179568443633,0.295907947063093,0.2486172349795432,0.24168072969884605,0.2678905599501767,0.45258368677118566,0.13630694717736552
,,,,1.0522078270099375,1.0765063966307984,0.277274011081445,0.29673722746254316,2.7409858027141882,2.768749326398192,0.29673722746254316,1.8748694110276591,0.11085080950867802
,,,,0.2844606014974463,0.32058202535921587,0.2577190998185637,0.28917012949118215,0.13413992605914826,0.158907174756555,0.2592117158156339,0.35065452929428187,0.13545844659779513
,,,,0.5589571815262319,0.7103953226925428,0.4904349238602706,0.6412315330667866,0.24905758712802178,0.3504029380175687,0.518219460465559,0.8928333905269683,0.2801720644937387
,,,,0.4138371320066983,0.5191254518431503,0.39459124888476327,0.4922240903440014,0.09612398193991539,0.19195517105454618,0.41407983807863613,0.6011699264391825,0.24933900292404643
,,,,0.45728525046912655,0.5678549574834596,0.38889382802541805,0.5153211261235336,0.30776466127753077,0.3281429723591104,0.4238842377810924,0.7640562996613535,0.26212603445474264
,,,,0.5839425458244257,0.6991643931305733,0.490659278849597,0.6167562604254567,0.27147331491726345,0.2490826728361429,0.4927287075625754,0.9441734380846799,0.23869935995239924
,,,,0.6100228097637408,0.7858136688659557,0.4520642793585484,0.5755411917861166,0.4620404229418981,0.5663829379237155,0.45273250879584886,1.2670742217625413,0.2953201080253561
,,,,0.5016881076507516,0.6702213842504229,0.43022227688769915,0.5849469340782839,0.21925201967079755,0.27672970803489066,0.44615920242193685,0.9890027659255043,0.35134168386435866
,,,,1.110467913448655,1.4776229268768664,0.7830940346967734,1.0322310361634293,1.2221931229259873,1.3727197190177352,0.5366986098342859,3.153499960899353,0.4102232447510852
,,,,0.6008501864036198,0.7604890014026296,0.5071407486094889,0.6321513552747805,0.2897079880938574,0.39068643590477176,0.44587243460135456,1.1798259751135562,0.270643979774364
,,,,0.5893482434604163,0.7993138152047754,0.4915999756964142,0.6731503603844671,0.29692037804797455,0.46980238169356503,0.4536550299424878,1.2971987883635174,0.33856277153921727
,,,,0.9224993539647801,1.417716268579635,0.7636979206584403,1.17324257965369,0.5059033612724336,0.8162412370780734,0.6759382137277508,2.268750011920929,0.5543738749896014
,,,,0.7082563501179493,1.0627728645283876,0.6329527205642249,0.8415254808804814,0.31736628013502544,0.8756756714912955,0.6010366412587225,1.5371918916386902,0.43833561130572263
,,,,0.7324004428144547,1.0049856324097146,0.6070383017569311,0.8249571827326376,0.4655579554042054,0.5607121835802579,0.5797966808396811,1.5449641076992764,0.4087817825289966
,,,,0.752337386881133,0.8919947044133854,0.684703971227256,0.8050962226861313,0.2858828737038579,0.3087738707087326,0.6160152522881035,1.2878410251924988,0.218213311794702
,,,,0.6215831439591544,0.8686124026075503,0.5585346243436863,0.7669810148576681,0.24712776374199974,0.4660238904723828,0.5492760887083578,1.2349484137126379,0.4019720124796274
,,,,0.5112406624916462,0.6225313808150812,0.425149435431719,0.5229789849617983,0.23880451131752436,0.264880241732398,0.4450828311006437,0.9004166722297668,0.2391451762555957
,,,,0.7609756276733077,0.8737028359368108,0.5773393557644982,0.7045382524685481,0.6624848596124023,0.664205829133743,0.5168609975807129,1.198016578500921,0.19070641041858188
,,,,0.5519570601916564,0.6686918327587733,0.48737168525490926,0.6264578527633041,0.18704936868920116,0.1619436993375652,0.5066666603088379,0.8886646270536385,0.2496664230438557
,,,,0.6899242088525732,0.927962119730661,0.5790938314485573,0.7802960639013916,0.4699187348464038,0.6984410972952966,0.6009924680013196,1.2926110498673093,0.3506926575099382
,,,,0.6796704514869577,0.7826256394317376,0.6151363700628281,0.714231842329766,0.24144616788717072,0.2607633314004085,0.5413540381684526,1.1540660384937376,0.17386038299478687
,,,,0.549414020799944,0.679348814518285,0.4962999472332972,0.636463858206618,0.20013070668829017,0.20325047834356266,0.48876033641479816,0.9106028168759448,0.26082095965308905
