village_id,village_name,district,state,ndvi_annual_2020,ndvi_annual_2025,ndvi_kharif_2020,ndvi_kharif_2025,ndvi_rabi_2020,ndvi_rabi_2025,ndvi_median_2025,ndvi_p90_2025,veg_fraction_2025,ndvi_growth_abs,ndvi_growth_pct,ndvi_trend_slope
,,,,0.8011550110176984,0.8180790629297571,0.7706836635890822,0.8152472573414785,0.8387833434912533,0.8216344075885477,0.8477953111434616,0.8862156089304338,0.9917286900926,0.017471346386072895,0.025894864900126997,2.443760609077807
,,,,0.735270193032253,0.7622915954354993,0.7565907844257163,0.7606700009841909,0.7787940178778543,0.7700324721914911,0.8160876176027974,0.8945998094118743,0.9597706188032009,0.02201496374084376,0.06102888071204642,-318.9016453370453
,,,,0.8057188948314454,0.7985948203101918,0.8236296774607433,0.8032714322659434,0.8358052047512838,0.8131619263597487,0.8476684926154155,0.9022610608882566,0.9655296565061253,-0.0074832596429510985,0.021094319170872948,-49.56961616766193
,,,,0.8114712549654207,0.8352621495844266,0.8303386059007244,0.8224150502237367,0.8352750745930062,0.8403811001201734,0.8477022692142927,0.8866029101989229,0.9979950812756047,0.023361883656403716,0.03554734891524483,136.9324151315953
,,,,0.8145091750869551,0.8415589865142005,0.8395667916321333,0.8316768728165136,0.8405304790426542,0.844177026336926,0.8556886085856609,0.8863998751499894,0.9965807914852196,0.027135003779323017,0.03712375233996968,110.95541201455629
,,,,0.8196571922221815,0.8358269757563863,0.8365443916332624,0.8082325865149596,0.8499461862747877,0.845231018092986,0.8554595983403005,0.8941915519222392,0.9933705713380244,0.016321846163187995,0.02754778024326767,43.81406372224103
,,,,0.8436562485839371,0.8495711590735502,0.8318931739008425,0.8126816397274869,0.8631254655604945,0.8616283768634591,0.8631978858019173,0.9019572845081856,0.9951926444223901,0.005321678542276608,0.024729298834211925,-27.333879057799862
,,,,0.7825701699201221,0.7902867747483389,0.7785907246646769,0.7624379540578605,0.8084569000416382,0.8034949295156292,0.8164330219491841,0.8787949347332579,0.989871924457683,0.0076916909417197275,0.06550098913618486,6.866556030686971
,,,,0.8512079928321413,0.8595229975421278,0.8519892415747715,0.8554230506482058,0.8680718954498615,0.8612096535927982,0.871058858554828,0.9019187816845068,0.9988379217218128,0.008238282834753356,0.011170793123134272,13.084410814592678
,,,,0.5544661295318198,0.5804131156374304,0.7162338329575767,0.6973586581779752,0.46650702291228485,0.5069010243303845,0.5731574186139191,0.6592823395532996,1.0,0.02594698610561308,0.049665345271959906,384.9817302602096
,,,,0.7135320080225368,0.7381769067491742,0.8083265132490578,0.8223284707884394,0.6396042533875257,0.6856531936908095,0.7549262804835172,0.7939607058250304,1.0,0.02464489872664126,0.03582979074051132,352.35900885328584
,,,,0.6332374377758972,0.6513913270760859,0.7403121920213657,0.7590959102129944,0.5347029418525154,0.5931096758388492,0.6385715717878637,0.7715121552004001,0.9921809403862304,0.0181538893001889,0.037397209222512405,325.6444017507567
